Index,ndb,nsulph,ncof,nnitro,nhev,ntb,nrot,AWeight,ncocl,Hatov,Hy,UI,Qass,C Log P
236,0,0,0,2,18,0,6,12.676,0,2.59,-3.243,3.459,0.809,1.424
237,2,0,0,2,24,0,11,12.842,0,2.372,-3.439,3.17,1.028,2.365
238,1,0,0,5,33,0,5,12.918,0,2.986,-3.516,4.248,1.96,1.718
239,1,0,3,3,35,0,14,13.237,0,2.98,-3.664,3.807,1.703,3.071
240,2,1,0,2,28,0,11,13.582,0,2.366,-3.434,3.907,1.271,2.341
241,1,0,0,5,28,0,5,12.937,0,2.786,-3.262,3.7,1.509,1.057
242,1,0,0,5,28,0,9,12.937,0,2.642,-3.262,3.7,1.542,1.351
243,2,1,0,1,14,0,4,14.441,0,2.09,-2.448,1.585,0.806,0.628
244,3,0,0,2,27,0,11,12.897,0,2.705,-3.522,3.322,1.336,1.605
245,1,0,0,3,14,0,2,15.788,2,2.232,-2.448,3,0.45,2.365
246,3,1,0,2,14,0,0,15.973,1,2.131,-2.176,3.322,0.386,1.873
247,1,0,0,4,14,0,3,12.581,0,2.407,-2.72,1,0.604,0.526
248,0,0,0,4,12,0,1,12.676,0,3.529,-2.39,3.585,0.341,0.915
249,1,0,0,5,28,0,5,12.937,0,2.958,-3.262,4.17,1.627,1.785
250,2,0,0,2,44,0,10,12.917,0,2.609,-4.095,4.248,2.441,3.689
251,0,0,0,1,17,0,5,12.832,0,2.367,-3.126,2.807,0.922,1.306
252,1,0,0,1,24,0,6,12.593,0,2.384,-3.821,3,0.857,2.854
253,5,2,0,3,17,0,1,17.04,1,2.198,-1.683,3.585,0.63,0.13
254,4,2,0,3,17,0,1,17.04,1,2.138,-1.683,3.459,0.657,-0.351
255,3,1,0,3,24,0,4,14.571,1,2.465,-3.057,4,0.644,2.083
256,4,2,0,3,20,0,2,17.458,2,1.901,-1.945,3.459,0.659,0.598
257,3,1,0,3,24,0,2,14.571,1,2.364,-3.057,4,0.705,2.714
258,3,1,0,2,21,0,5,15.222,1,2.657,-2.51,3.907,1.204,1.891
259,0,0,0,1,21,0,8,13.412,1,2.381,-3.765,3.7,0.472,4.195
260,0,0,0,1,12,0,3,12.51,0,2.384,-2.987,2.807,0.371,1.328
261,0,0,0,1,13,0,3,13.085,0,2.932,-2.562,2.807,1.078,0.351
262,0,0,0,1,12,0,3,12.842,0,2.78,-2.689,2.807,0.713,0.645
263,6,0,0,0,36,0,8,13.438,1,2.312,-4.021,2.807,1.34,4.087
264,6,0,1,0,36,0,8,12.981,0,2.495,-4.021,2.807,1.401,3.818
265,4,0,0,0,31,0,4,12.783,0,2.569,-3.995,2.322,1.023,2.717
266,5,0,0,0,29,0,4,12.836,0,2.551,-3.853,2.585,1.003,2.561
267,4,0,1,0,28,0,2,12.973,0,2.627,-3.777,2.322,1.001,1.896
268,4,0,1,0,30,0,4,13.042,0,2.599,-3.762,2.322,1.178,2.445
269,4,0,1,0,27,0,1,12.861,0,2.464,-3.874,2.322,0.78,2.923
270,5,1,3,0,34,0,6,13.804,0,2.435,-3.741,2.585,1.159,4.43
271,3,0,0,0,26,0,2,12.778,0,2.574,-3.797,2,0.904,1.782
272,4,0,0,0,27,0,2,12.75,0,2.547,-3.874,2.322,0.919,1.804
273,4,0,0,0,26,0,2,12.778,0,2.662,-3.797,2.322,0.915,1.558
274,5,0,0,0,26,0,2,12.778,0,2.694,-3.797,2.585,0.82,1.766
275,4,0,0,0,27,0,2,12.454,0,2.213,-4.227,2.322,0.499,4.497
276,4,0,1,0,31,0,2,13.008,0,2.574,-3.836,2.322,1.088,2.419
277,1,0,0,1,25,1,0,12.41,0,2.547,-4.087,3,0.458,4.221
278,3,0,0,2,27,0,3,12.454,0,2.174,-4.05,2,0.626,3.815
279,3,1,0,6,33,0,7,13.465,0,2.371,-3.363,4.322,1.109,1.129
280,2,0,0,3,29,0,1,12.768,0,3.199,-3.685,4.248,1.287,1.729
281,3,1,0,6,34,0,8,13.422,0,2.358,-3.442,4.322,1.084,1.589
282,4,0,0,0,28,0,3,12.581,0,2.225,-4.121,2.322,0.678,4.655
283,0,0,0,0,20,0,0,12.41,0,2.586,-3.89,2.807,0.612,3.609
284,2,0,0,0,23,1,1,12.358,0,2.523,-4.13,2,0.4,3.883
285,1,0,0,1,24,0,5,31.908,0,0.769,-2.866,3.807,1.283,4.557
286,1,0,0,1,11,0,2,12.918,0,2.672,-2.516,1,0.638,0.836
287,2,0,0,0,23,0,4,12.705,0,3.158,-3.737,4.322,0.93,3.61
288,4,1,0,2,22,0,6,13.829,0,2.491,-3.041,3.459,0.716,2.21
289,3,1,0,2,17,0,6,15.508,1,2.16,-2.404,3.322,0.602,1.738
290,6,1,0,4,34,0,11,13.422,0,2.423,-3.591,3.7,1.151,3.074
291,4,1,0,5,31,0,10,13.494,0,2.661,-3.356,4.087,1.082,2.078
292,4,1,0,3,33,0,11,14.115,1,2.484,-3.516,4.087,1.213,3.642
