Index,nsulph,ncof,ntb,AWeight,ncocl,GMTIV,Hatov,TPSA,Hy,QOss
346,0,0,0,12.51,0,4.22,2.209,46.53,-4.012,0.536
347,0,0,0,13.72,0,3.555,2.132,77.38,-2.176,0.281
348,1,0,0,16.103,0,2.924,1.594,9.03,-1.887,0
349,0,0,0,12.771,0,4.026,3.19,101.88,-2.928,0.157
350,0,0,0,13.184,0,3.876,3.423,93.03,-2.404,0.35
351,1,1,0,14.823,0,3.819,2.827,90.37,-2,0.331
352,1,0,0,14.545,0,3.681,2.679,90.37,-2.084,0.331
353,0,0,0,13.257,0,3.812,3.158,84.32,-2.5,0.407
354,0,0,0,13.376,0,4.065,3.257,133.08,-2.236,0.413
355,0,0,0,17.569,0,2.979,2.346,94.83,-0.401,0.541
356,2,0,0,13.452,0,5.029,2.375,145.78,-4.176,0.536
357,0,0,0,13.812,0,4.795,2.274,170.75,-3.159,1.134
358,0,0,0,12.555,0,3.947,2.431,33.53,-3.446,0.144
359,0,0,0,13.616,1,4.464,2.449,99.13,-3.75,0.901
360,0,0,0,12.569,0,4.199,2.732,49.77,-3.901,0.533
361,0,0,0,15.669,2,3.53,2.3,62.44,-2.344,0
362,0,0,0,12.646,0,4.066,2.413,50.72,-3.649,0.537
363,0,0,0,12.676,0,3.964,2.368,58.56,-3.556,0.478
364,1,0,0,13.916,0,3.983,2.107,79.74,-2.719,0.516
365,0,0,0,12.609,0,4.479,2.683,89.79,-4.089,0.535
366,0,0,0,12.654,0,4.515,2.527,86.99,-4.155,0.741
367,0,2,0,13.071,0,4.636,2.758,75.99,-3.906,0.823
368,0,3,0,13.294,0,4.813,2.87,96.22,-3.81,0.975
369,3,0,0,16.227,0,3.803,1.81,106.33,-2.236,0.184
370,3,0,0,15.754,0,4.069,1.911,118.8,-2.36,0.318
371,0,0,0,12.771,0,4.005,2.437,70.59,-3.347,0.467
372,0,0,0,12.827,0,4.04,2.105,67.79,-3.446,0.637
373,0,0,0,12.539,0,4.693,2.969,94.31,-4.19,0.345
374,0,0,0,13.601,2,5.861,3.046,530.49,-4.351,3.45
375,0,0,0,13.382,0,3.852,3.516,119.05,-2,0.355
376,0,0,0,14.726,0,4.013,2.714,147.9,-1.853,0.621
377,0,0,0,13.376,0,4.023,3.689,139.54,-2.236,0.574
378,0,3,0,14.256,0,4.213,3.912,104.55,-2.161,0.563
379,0,0,0,20.177,0,3.874,1.565,104.55,-2.164,0.562
380,2,0,0,16.631,0,3.582,2.086,115.04,-1.139,0.159
381,2,0,0,16.301,0,3.617,1.949,107.41,-1.36,0.158
382,0,0,0,12.26,0,3.642,3.028,24.39,-3.5,0
383,0,0,0,12.277,0,3.482,2.795,24.39,-3.386,0
384,0,0,0,13.008,0,3.004,1.729,26.3,-2.325,0.275
385,0,0,0,12.809,0,3.605,2.473,44.12,-2.865,0.28
386,0,0,0,12.676,0,3.914,2.475,49.77,-3.556,0.429
387,0,0,0,12.581,0,4.021,2.857,53.43,-3.556,0.231
388,0,0,0,12.555,0,3.188,2.619,46.25,-2.83,0.258
389,0,0,0,13.175,0,4.211,3.019,146.89,-2.866,0.544
390,0,0,0,12.827,0,4.063,2.71,55.84,-3.446,0.553
391,0,0,0,12.736,0,4,2.308,64.79,-3.446,0.514
392,0,0,0,12.543,0,3.642,3.249,29.46,-3.386,0.362
393,0,0,0,12.641,0,3.843,2.271,41.57,-3.354,0.273
394,0,0,0,16.104,0,4.011,2.149,80.39,-3.241,0.378
395,0,0,0,15.003,2,3.89,2.526,49.33,-3.13,0.295
396,0,0,0,12.746,0,3.976,3.363,59.3,-3.354,0.377
